ID,EGRID,Nummer,BFSNr,Check_EGRID,Flaeche,parcel_area_m2,Bemerkung,GGF_m2,BUF_m2,UUF_m2,Sealed_m2,GreenSpace_m2,Abbau_Deponie_m2,Acker_Wiese_Weide_m2,Bahn_m2,Fels_m2,Gartenanlage_m2,Gebaeude_m2,Geroell_Sand_m2,Gewaesser_fliessendes_m2,Gewaesser_stehendes_m2,Gletscher_Firn_m2,Hoch_Flachmoor_m2,Reben_m2,Strasse_Weg_m2,Trottoir_m2,Verkehrsinsel_m2,Wasserbecken_m2,Wytweide_dicht_m2,Wytweide_offen_m2,geschlossener_Wald_m2,uebrige_Intensivkultur_m2,uebrige_befestigte_m2,uebrige_bestockte_m2,uebrige_humusierte_m2,uebrige_vegetationslose_m2
TEST-00555,CH794599780682,1089,4285.0,EGRID found in AV,933.0,932.760194995637,,209.95748649999072,551.2140493334407,171.58865916368273,291.8670492860261,640.893145711088,0.0,0.0,0.0,0.0,469.3044865474053,209.95748649999072,0.0,0.0,0.0,0.0,0.0,0.0,8.778352018405682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.13121076762972,171.58865916368273,0.0,0.0
TEST-00710,CH527848896794,0528,2701.0,EGRID found in AV,1907.0,1906.7965620079947,,0.0,1906.7940293566312,0.0010871531241283948,1056.9100263396017,849.8840030170295,0.0,0.0,749.8841250979833,0.0,0.0,0.0,0.0,0.0010871531241283948,0.0,0.0,0.0,0.0,0.0,2.6836962410177554,0.0,0.0,0.0,0.0,0.0,0.0,304.34220500060053,0.0,849.8840030170295,0.0
TEST-00903,CH910722029496,165,5226.0,EGRID found in AV,49.0,49.13530950162977,,49.13530950162977,0.0,0.0,49.13530950162977,0.0,0.0,0.0,0.0,0.0,0.0,49.13530950162977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEST-00502,CH160546353057,1247,565.0,EGRID found in AV,1110.0,1110.1640704932315,,0.0,1110.1640704925094,0.0,745.5009253249051,364.6631451676044,0.0,0.0,0.0,0.0,364.6631451676044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.5009253249051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEST-00115,CH807735014601,1398,492.0,EGRID found in AV,226.0,225.60106599604143,,44.60428080320303,180.99678519297407,0.0,44.60428080320303,180.99678519297407,0.0,0.0,0.0,0.0,180.99678519297407,44.60428080320303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEST-00107,CH409894931060,2030,2309.0,EGRID found in AV,13788.0,13788.478708495322,,0.0,13788.477801497203,0.0,0.0,13788.477801497203,0.0,13788.47550980722,0.0,0.0,0.0022916899827514214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEST-00406,CH640447776404,4423,3619.0,EGRID found in AV,787.0,787.3717509988746,,0.0,636.4380810943893,150.93366990415043,0.0,787.3717509985397,0.0,636.4380810943893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.93366990415043,0.0,0.0
TEST-00819,CH273777815195,1304,3352.0,EGRID found in AV,1632.0,1631.9474184978244,,0.16914361519386395,1631.7782748816705,0.0,3.557239333127569,1628.3901791637368,0.0,1628.3901791637368,0.0,0.0,0.0,0.16914361519386395,0.0,0.0,0.0,0.0,0.0,0.0,3.3880957179337052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEST-00342,CH630280070712,2034,5003.0,EGRID found in AV,2304.0,2303.98585998937,,0.0,0.0,2303.9858599893696,0.0,2303.9858599893696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2303.9858599893696,0.0,0.0,0.0,0.0,0.0
TEST-00262,CH629116109413,7430,2275.0,EGRID found in AV,2176.0,2175.531687005765,,0.0,2175.531687004008,0.0,2175.504682508687,0.019582951106505462,0.0,0.019582951106505462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2175.504682508687,0.0,0.0,0.0,0.0,0.0,0.0,0.007421544214480142,0.0,0.0,0.0,0.0
