ID,EGRID,Nummer,BFSNr,Check_EGRID,Flaeche,parcel_area_m2,Bemerkung
TEST-00943,CH767801664324,3162,3746.0,EGRID in AV gefunden,13526.0,13526.13437302241,
TEST-00615,CH607789782849,809,2.0,EGRID in AV gefunden,607.0,606.9702985038988,
TEST-00503,CH190297270765,5275,5113.0,EGRID in AV gefunden,360.0,353.54061000645544,
TEST-00035,CH507752299511,9682,121.0,EGRID in AV gefunden,1353.0,1353.0878389977802,
TEST-00078,CH873588684684,2917,351.0,EGRID in AV gefunden,5915.0,5915.179027010478,
TEST-00094,CH813562461726,250,747.0,EGRID in AV gefunden,15603.0,15602.762527981627,
TEST-00851,CH280232067612,1233,2403.0,EGRID in AV gefunden,745.0,745.0128630100585,
TEST-00320,CH158352503067,5489,6021.0,EGRID in AV gefunden,650.0,649.5365624959926,
TEST-00770,CH280688277715,4243,3732.0,EGRID in AV gefunden,10770.0,10769.7577469972,
TEST-00366,CH893477948726,4773,112.0,EGRID in AV gefunden,1127.0,1126.8741845046184,
TEST-00785,CH698572620111,1616,2117.0,EGRID in AV gefunden,1014.0,1014.4222995001326,
TEST-00735,CH387176917980,1516,3834.0,EGRID in AV gefunden,168.0,168.24305899925082,
TEST-00865,CH257635776268,971,63.0,EGRID in AV gefunden,4052.0,4052.322880500127,
TEST-00349,CH907827073307,917,3723.0,EGRID in AV gefunden,555.0,555.1903039896644,
TEST-00826,CH958449775478,1685,3006.0,EGRID in AV gefunden,122.0,122.25396099879418,
TEST-00102,CH576386126582,8660,6607.0,EGRID in AV gefunden,483.0,482.7728465015061,
TEST-00346,CH908035194626,3606,404.0,EGRID in AV gefunden,551.0,550.725450505538,
TEST-00017,CH467826383095,1269,1321.0,EGRID in AV gefunden,3169.0,3168.888839498992,
TEST-00997,CH410759029826,332,,EGRID in AV gefunden,275.0,275.09374399715307,
TEST-00634,CH140702050495,1670,5238.0,EGRID in AV gefunden,4755.0,4754.584969481443,
TEST-00195,CH801995008323,2434,4048.0,EGRID in AV gefunden,1884.0,1883.7680610037432,
TEST-00063,CH790289410785,687,5017.0,EGRID in AV gefunden,969.0,971.1719184950514,
TEST-00174,CH358775771308,688,4911.0,EGRID in AV gefunden,30905.0,30904.896441005265,
TEST-00332,CH458855773508,11408,113.0,EGRID in AV gefunden,4201.0,4201.109916010277,
TEST-00648,CH227797513723,2056,3352.0,EGRID in AV gefunden,495.0,495.1091695041184,
TEST-00982,00000,,,EGRID fehlt oder nicht in AV,,,Ungueltige EGRID (Testfall)
TEST-00289,CH313503462837,258,785.0,EGRID in AV gefunden,34125.0,34125.383756974705,
TEST-00950,CH527799875964,F4550,3203.0,EGRID in AV gefunden,882.0,882.3262604936543,
TEST-00403,CH896583146378,1209,6631.0,EGRID in AV gefunden,219.0,218.75964299947606,
TEST-00231,CH276777328973,2862,2703.0,EGRID in AV gefunden,824.0,823.9515229939984,
TEST-00809,CH867917880978,1248,3786.0,EGRID in AV gefunden,1346.0,1345.6468604978431,
TEST-00045,CH510709029359,686,5192.0,EGRID in AV gefunden,931.0,931.322635995585,
TEST-00173,CH195217743047,13587,6248.0,EGRID in AV gefunden,190.0,190.0198029976425,
TEST-00013,CH175277878659,2264,3236.0,EGRID in AV gefunden,585.0,584.6586549923311,
