ID,EGRID,Nummer,BFSNr,Check_EGRID,Flaeche,parcel_area_m2,input_Bemerkung,GGF_m2,BUF_m2,UUF_m2,DIN277_BF_m2,DIN277_UF_m2,Sealed_m2,GreenSpace_m2,Acker_Wiese_Weide_m2,Gartenanlage_m2,Strasse_Weg_m2,uebrige_befestigte_m2
TEST-00020,CH427760110057,1460,4436,EGRID found in AV,429,428.59122549856335,,0.0,428.5912254985633,0.0,0.0,428.5912254985633,0.0,428.5912254985633,428.5912254985633,0.0,0.0,0.0
TEST-00276,CH690292570744,939,5236,EGRID found in AV,52,51.69018699939914,,0.0,51.69018699830585,0.0,0.0,51.69018699830585,24.418139755765566,27.272047242540282,22.3311757648305,4.940871477709779,19.920407861270743,4.497731894494825
TEST-00002,CH333077237248,68,3237,EGRID found in AV,731,730.8553099989372,,0.0,730.854737990029,0.0,0.0,730.854737990029,357.0252044678365,373.8295335221925,0.0,373.8295335221925,0.0,357.0252044678365
