ID,EGRID,Nummer,BFSNr,Check_EGRID,Flaeche,parcel_area_m2,input_Bemerkung,GGF_m2,BUF_m2,UUF_m2,DIN277_BF_m2,DIN277_UF_m2,Sealed_m2,GreenSpace_m2,Abbau_Deponie_m2,Acker_Wiese_Weide_m2,Bahn_m2,Fels_m2,Gartenanlage_m2,Gebaeude_m2,Geroell_Sand_m2,Gewaesser_fliessendes_m2,Gewaesser_stehendes_m2,Gletscher_Firn_m2,Hoch_Flachmoor_m2,Reben_m2,Strasse_Weg_m2,Trottoir_m2,Verkehrsinsel_m2,Wasserbecken_m2,Wytweide_dicht_m2,Wytweide_offen_m2,geschlossener_Wald_m2,uebrige_Intensivkultur_m2,uebrige_befestigte_m2,uebrige_bestockte_m2,uebrige_humusierte_m2,uebrige_vegetationslose_m2,bauzonen,bauzonen_m2,habitat,habitat_m2
TEST-00079,CH590280800720,1344,5002.0,EGRID found in AV,11956.0,11955.691106532708,,0.0,11865.949597733485,89.74039724074242,0.0,11955.689994974227,10947.300906101247,1007.9238060188309,0.0,615.9700142843228,0.0,0.0,169.90975734846447,0.0,0.0,0.46528285414865883,0.0,0.0,0.0,0.0,10751.402468285709,0.0,0.0,0.0,0.0,0.0,89.27511438659376,0.0,195.8984378155383,0.0,132.7689199994498,0.0,,,"4 Grünland (Naturrasen, Wiesen und Weiden); 4 Grünland (Naturrasen, Wiesen und Weiden); 4 Grünland (Naturrasen, Wiesen und Weiden); 1.2 Fliessgewässer; 7.1 Trittrasen und Ruderalfluren; 9.3.2 Asphalt- und Betonstrasse; 4.5.1 Talfettwiesen (Fromentalwiese); 6.3.7 Kastanienwald; 6.3.7 Kastanienwald; 6.3.7 Kastanienwald; 6.3.7 Kastanienwald; 6.3.7 Kastanienwald; 6.3.7 Kastanienwald; 6.3.7 Kastanienwald; 6.3.7 Kastanienwald; 6.3.7 Kastanienwald; 6.3.7 Kastanienwald; 6.3.7 Kastanienwald; 6.3.7 Kastanienwald; 6.3.7 Kastanienwald; 6.3.7 Kastanienwald; 6.3.7 Kastanienwald; 9.0.2 Versiegelte vegetationslose Fläche ohne erkennbare Nutzung; 9.0.2 Versiegelte vegetationslose Fläche ohne erkennbare Nutzung; 9.0.2 Versiegelte vegetationslose Fläche ohne erkennbare Nutzung; 9.3.2 Asphalt- und Betonstrasse; 9.3.2 Asphalt- und Betonstrasse; 9.3.3 Naturstrasse, Weg; 9.3.3 Naturstrasse, Weg; 9.3.3 Naturstrasse, Weg; 9.3.3 Naturstrasse, Weg; 9.3.3 Naturstrasse, Weg; 4.2.4 Mitteleuropäischer Halbtrockenrasen; 4.2.4 Mitteleuropäischer Halbtrockenrasen; 4.2.4 Mitteleuropäischer Halbtrockenrasen; 1.2 Fliessgewässer",127.6; 136.1; 0.0; 21.1; 3.1; 7874.4; 0.0; 2.5; 10.8; 34.7; 1.2; 2.9; 57.3; 2.1; 137.3; 44.8; 37.4; 0.2; 119.2; 146.3; 1.3; 28.5; 48.9; 99.6; 46.8; 444.7; 2389.3; 10.8; 0.0; 0.0; 0.0; 0.1; 6.7; 7.5; 110.7; 0.3
TEST-00019,CH318977670111,7606,4095.0,EGRID found in AV,2432.0,2432.29333350072,,0.0,2432.2933335007197,0.0,0.0,2432.2933335007197,0.0,2432.2933335007197,0.0,2432.2933335007197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0 Kunstrasen; 4.5.1 Talfettwiesen (Fromentalwiese); 4.5.1 Talfettwiesen (Fromentalwiese),722.1; 1702.4; 7.8
TEST-00970,CH501714562450,,,EGRID missing or not in AV,,0.0,Nicht existierende EGRID (Testfall),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
TEST-00112,CH590578731171,711,4192.0,EGRID found in AV,225.0,225.1849250025605,,0.0,225.18492500256053,0.0,0.0,225.18492500256053,0.0,225.18492500256053,0.0,225.18492500256053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0.1 Kunstwiese auf Fruchtfolgefläche; 4.5.1 Talfettwiesen (Fromentalwiese),0.1; 225.1
TEST-00501,CH307703827788,5505,151.0,EGRID found in AV,263.0,262.60617849841157,,59.69811666493481,202.9078165347308,0.0,59.69811666493481,202.9078165347308,61.599712200250835,201.00622099941478,0.0,0.0,0.0,0.0,201.00622099941478,59.69811666493481,0.0,0.0,0.0,0.0,0.0,0.0,0.0024025001249647904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8991930351910642,0.0,0.0,0.0,Wohnzonen,262.6,"8.2.3 Hackfruchtacker (Sommerkultur), Garten; 9.2 Bauten; 9.0.2 Versiegelte vegetationslose Fläche ohne erkennbare Nutzung",200.8; 59.3; 1.9
TEST-00080,CH227733802935,20463,4566.0,EGRID found in AV,18201.0,18200.949608479164,,0.0,0.004783051456454722,18200.944825426264,0.0,18200.94960847772,0.004783051456454722,17362.377843709233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,838.5669817170292,0.0,0.0,0.0,0.0,0.004783051456454722,0.0,0.0,0.0,0.0,0.0,17362.377843709233,0.0,0.0,0.0,0.0,0.0,,,"9.0.2 Versiegelte vegetationslose Fläche ohne erkennbare Nutzung; 6.2.1 Orchideen-Buchenwald; 1.2 Fliessgewässer; 6.2.3 Waldmeister-Buchenwald; 6.2.3 Waldmeister-Buchenwald; 9.3.3 Naturstrasse, Weg; 1.2 Fliessgewässer; 6.2.3 Waldmeister-Buchenwald; 6.2.3 Waldmeister-Buchenwald",0.5; 10844.0; 281.1; 208.1; 6244.3; 1.3; 359.1; 206.4; 56.1
TEST-00199,CH273586894649,142,667.0,EGRID found in AV,3864.0,3864.367311022379,,169.9069055042727,2625.2890813946965,1069.171324122606,169.9069055042727,3694.460405517302,169.91884357969934,3694.4484674418754,0.0,1361.0119323940266,0.0,0.0,1264.265210925243,169.9069055042727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011938075426655814,0.0,0.0,0.0,0.0,1069.171324122606,0.0,0.0,0.0,0.0,0.0,Wohnzonen; Mischzonen; eingeschränkte Bauzonen,1.9; 2762.4; 31.4,"4.5.1 Talfettwiesen (Fromentalwiese); 4.5.1 Talfettwiesen (Fromentalwiese); 6.2.3 Waldmeister-Buchenwald; 9.2 Bauten; 9.2 Bauten; 8.2.3 Hackfruchtacker (Sommerkultur), Garten; 4.0.1 Kunstwiese auf Fruchtfolgefläche; 4.5.1 Talfettwiesen (Fromentalwiese); 6 Wälder; 8.2.3 Hackfruchtacker (Sommerkultur), Garten",83.0; 554.3; 1311.5; 16.2; 154.2; 1252.2; 0.4; 491.0; 0.1; 0.0
TEST-00932,CH134619359946,332,371.0,EGRID found in AV,345.0,344.7341845039061,,188.2579667186599,156.47535104771683,0.0,188.2579667186599,156.47535104771683,344.73331776637673,0.0,0.0,0.0,0.0,0.0,0.0,188.2579667186599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.47535104771683,0.0,0.0,0.0,Mischzonen,344.6,"9.2 Bauten; 9.2 Bauten; 8.2.3 Hackfruchtacker (Sommerkultur), Garten; 9.0.2 Versiegelte vegetationslose Fläche ohne erkennbare Nutzung; 9.0.2 Versiegelte vegetationslose Fläche ohne erkennbare Nutzung",0.1; 188.1; 0.1; 128.5; 27.9
TEST-00572,CH370717870284,240,5323.0,EGRID found in AV,1732.0,1731.9776479918507,,0.0,0.0,1731.9776479918573,0.0,1731.9776479918573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1731.9776479918573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.3.7 Kastanienwald; 6.3.7 Kastanienwald; 1.2 Fliessgewässer; 9.3.2 Asphalt- und Betonstrasse,469.7; 664.4; 597.9; 0.0
TEST-00893,CH227796518185,11358,154.0,EGRID found in AV,1367.0,1367.4109564987532,,256.78715024651774,1110.623806251975,0.0,256.78715024651774,1110.623806251975,442.99423694063637,924.4167195578565,0.0,0.0,0.0,0.0,924.4167195578565,256.78715024651774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016914974276005523,0.0,0.0,0.0,0.0,0.0,0.0,186.20539519669103,0.0,0.0,0.0,Wohnzonen,1367.4,"9.2 Bauten; 9.0.2 Versiegelte vegetationslose Fläche ohne erkennbare Nutzung; 9.0.2 Versiegelte vegetationslose Fläche ohne erkennbare Nutzung; 8.2.3 Hackfruchtacker (Sommerkultur), Garten; 9.0.2 Versiegelte vegetationslose Fläche ohne erkennbare Nutzung; 8.2.3 Hackfruchtacker (Sommerkultur), Garten",257.6; 45.7; 52.8; 838.3; 87.5; 85.2
TEST-00243,CH953832870636,2923,2493.0,EGRID found in AV,922.0,921.5238514956759,,0.0,921.5238514956759,0.0,0.0,921.5238514956759,0.0,921.5238514956759,0.0,0.0,0.0,0.0,921.5238514956759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wohnzonen,921.5,"8.2.3 Hackfruchtacker (Sommerkultur), Garten",921.5
TEST-00088,CH567410943939,978,2206.0,EGRID found in AV,545.0,545.6602630019989,,140.41339050113478,405.2468725001847,0.0,140.41339050113478,405.2468725001847,239.04327672000096,306.6169862813185,0.0,0.0,0.0,0.0,306.6169862813185,140.41339050113478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.62988621886619,0.0,0.0,0.0,Wohnzonen,545.4,"9.2 Bauten; 8.2.3 Hackfruchtacker (Sommerkultur), Garten; 9.0.2 Versiegelte vegetationslose Fläche ohne erkennbare Nutzung",139.7; 306.9; 98.5
TEST-00135,CH907666227709,2457,6299.0,EGRID found in AV,3372.0,3371.621151997305,,0.0,765.0389451395337,2606.5822068597226,0.0,3371.621151999256,0.0,3371.621151999256,0.0,765.0389451395337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2606.5822068597226,0.0,0.0,0.0,0.0,0.0,,,1.2 Fliessgewässer; 6.4 Wärmeliebende Föhrenwälder; 6.6 Gebirgsnadelwälder; 6.6 Gebirgsnadelwälder,43.5; 457.2; 59.6; 2811.3
TEST-00483,CH467846357474,2526,495.0,EGRID found in AV,46857.0,46856.86728098651,,0.0,46856.86728097763,0.0,0.0,46856.86728097763,440.10822185348917,46416.759059124146,0.0,46098.7399894883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.10822185348917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.01906963584656,0.0,,,"4.5.1 Talfettwiesen (Fromentalwiese); 4 Grünland (Naturrasen, Wiesen und Weiden); 4 Grünland (Naturrasen, Wiesen und Weiden); 8.2 Feldkulturen (Äcker); 4.5.1 Talfettwiesen (Fromentalwiese); 4.0 Kunstrasen; 8.2 Feldkulturen (Äcker); 9.3.3 Naturstrasse, Weg",10630.5; 158.4; 3.2; 33002.9; 2386.0; 175.9; 36.3; 463.6
TEST-00662,CH810762029164,871,5141.0,EGRID found in AV,2840.0,2833.129891007895,,2.6835356935431345,2830.446355317605,0.0,2.6835356935431345,2830.446355317605,2833.129891011148,0.0,0.0,0.0,0.0,0.0,0.0,2.6835356935431345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2830.446355317605,0.0,0.0,0.0,Arbeitszonen; Arbeitszonen; Arbeitszonen,1.1; 2823.2; 0.0,9.2 Bauten; 9.0.2 Versiegelte vegetationslose Fläche ohne erkennbare Nutzung; 9.3.2 Asphalt- und Betonstrasse,2.6; 2828.5; 2.0
TEST-00652,CH827063320614,185,2556.0,EGRID found in AV,2722.0,2722.2308984820274,,0.0,2722.230898477632,0.0,0.0,2722.230898477632,10.251816664048443,2711.9790818135834,0.0,2711.9790818135834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.251816664048443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"8.2 Feldkulturen (Äcker); 9.3.3 Naturstrasse, Weg",2711.9; 10.3
TEST-00138,CH257708776785,5199,115.0,EGRID found in AV,271.0,271.396674997767,,84.51751700042874,186.87915799733827,0.0,84.51751700042874,186.87915799733827,84.51751700042874,186.87915799733827,0.0,0.0,0.0,0.0,186.87915799733827,84.51751700042874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mischzonen,271.4,"9.2 Bauten; 9.0.2 Versiegelte vegetationslose Fläche ohne erkennbare Nutzung; 8.2.3 Hackfruchtacker (Sommerkultur), Garten",84.7; 0.6; 186.1
TEST-00462,CH754046453521,2288,690.0,EGRID found in AV,5995.0,5994.921332515871,,48.66247949887662,5946.258853010365,0.0,48.66247949887662,5946.258853010365,48.72806448184376,5946.193268027398,0.0,3510.73712903171,0.0,0.0,214.55529915940264,48.66247949887662,0.0,0.0,0.0,0.0,0.0,0.0,0.065584982967135,0.0,0.0,0.0,92.58303303684777,2128.317806799437,0.0,0.0,0.0,0.0,0.0,0.0,,,"4.0.0.0.3 Rasen, nicht dynamisch; 6 Wälder; 9.2 Bauten; 4.5.1 Talfettwiesen (Fromentalwiese); 8.2.3 Hackfruchtacker (Sommerkultur), Garten; 4.5.1 Talfettwiesen (Fromentalwiese); 6.2.3 Waldmeister-Buchenwald",203.0; 96.8; 48.7; 231.3; 214.4; 3594.8; 1605.8
TEST-00575,CH545401778749,1878,176.0,EGRID found in AV,824.0,823.5400960015113,,111.72978949905311,711.8095778238749,0.0,111.72978949905311,711.8095778238749,205.46626443197968,618.0731028909482,0.0,0.0,0.0,0.0,618.0731028909482,111.72978949905311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.73647493292657,0.0,0.0,0.0,Wohnzonen; Mischzonen,821.5; 0.7,"9.2 Bauten; 8.2.3 Hackfruchtacker (Sommerkultur), Garten; 9.3.3 Naturstrasse, Weg; 9.0.2 Versiegelte vegetationslose Fläche ohne erkennbare Nutzung",111.9; 613.5; 4.7; 93.2
