ID,EGRID
1086/3089/1,CH990777749002
1086/3092/1,CH307703534513
1086/3093/1,0000000000
1086/3097/1,CH340345771605
1086/3102/1,CH492677342043
1086/3102/2,CH582426207706
1086/3103/1,CH579477842721
1086/3103/2,CH492777859480
1086/3103/3,CH267727948654
1086/3104/1,CH119472277733
1086/3105/1,CH719486277791
1086/3106/1,CH967727947521
1086/3106/2,CH867727949931
1086/3111/1,CH245408729102
1086/3111/2,CH967008545932
1086/3136/1,CH790877895434
1086/3144/1,CH388887557720
1086/3144/2,CH375577888703
1086/3144/3,CH357487775515
1086/3146/1,CH638777558742
1086/3146/2,CH858887775549
1086/3148/1,CH250129770966
1086/3148/2,CH132977090261
1086/3153/1,CH558908770512
1086/3153/2,CH567708058996
1086/3155/1,0000000000
1086/3155/2,0000000000
1086/3155/3,0000000000
1086/3158/1,CH111573668196
1086/3158/2,CH157466811509
1086/3158/3,CH108115736675
1086/3158/4,CH741566817165
1086/3158/5,CH271581736680
1086/3158/6,CH168166157373
1086/3159/1,CH755317774123
1086/3159/2,CH744117775526
1086/3159/3,0000000000
1086/3161/1,CH557520778409
1086/3167/1,CH174177551736
1086/3168/1,CH344117775565
1086/3179/1,CH167308549194
1086/3180/1,CH567308549254
1086/3181/1,CH690877105414
1086/3197/1,CH207783268943
1086/3197/2,0000000000
1086/3198/1,CH813257417710
1086/3232/1,CH349478771763
1086/3232/2,CH479477187808
1086/3232/4,CH149478771140
1086/3233/1,CH567778948081
1086/3233/2,CH980178947792
1086/3234/1,CH858578779475
1086/3234/2,CH367778949438
1086/3234/4,CH727711789404
1086/3247/1,CH938677527090
1086/3247/3,CH115287867779
1086/3247/4,CH857886775240
1086/3247/5,0000000000
1086/3247/6,0000000000
1086/3257/1,CH512377307714
1086/3269/1,CH640418778154
1086/3274/1,CH857489778390
1086/3274/2,CH448389777374
1086/3293/2,CH530877547095
1086/3299/1,CH808815776624
1086/3300/1,CH167711001107
1086/3300/2,CH281111007772
1086/3307/1,CH772977793566
1086/3307/2,CH707729793560
1086/3307/3,CH827779352937
1086/3315/1,0000000000
1086/3315/2,CH453608785467
1086/3315/3,CH683708547868
1086/3315/4,CH745408717545
1086/3336/1,CH131277458043
1086/3337/1,CH431277458038
1086/3337/2,CH144512777946
1086/3337/3,CH114579127777
1086/3337/4,CH374577891254
1086/3341/1,CH390872465453
1086/3341/2,CH227188085487
1086/3341/4,CH227246085450
1086/3352/1,CH881308547173
1086/3354/1,CH580008547834
1086/3357/4,CH880508547492
1086/3363/1,CH727787413275
1086/3365/1,CH815441087252
1086/3366/2,CH252989778354
1086/3366/3,CH638977830979
1086/3367/1,CH575473430818
1086/3367/2,CH607154350893
1086/3367/3,CH682608547379
1086/3368/1,CH555608795472
1086/3369/1,CH207954430886
1086/3371/1,CH530873542678
1086/3371/2,0000000000
1086/3372/1,CH975473760874
1086/3372/2,0000000000
1086/3372/3,CH945408728264
1086/3402/1,CH641448778988
1086/3408/1,CH956420780849
1086/3408/2,CH787120087918
1086/3461/2,0000000000
1086/3461/3,0000000000
1086/3461/4,0000000000
1086/3461/5,0000000000
1086/3462/1,0000000000
1086/3462/2,0000000000
1086/3462/3,0000000000
1086/3462/4,0000000000
1086/3462/5,0000000000
1086/3462/6,0000000000
1086/3463/1,0000000000
1086/3463/2,0000000000
1086/3463/3,0000000000
1086/3468/2,0000000000
1086/3469/2,0000000000
1086/3478/1,0000000000
1086/3489/1,0000000000
1086/3489/2,0000000000
1086/3489/3,0000000000
1086/3490/1,0000000000
1086/3491/1,0000000000
1086/3491/2,0000000000
1086/3498/1,0000000000
